as_of_date,game_id,player_id,player_name,mu_pts,sigma_pts,p15,p20,p25,p30,conf20,conf25,conf30,model_version
2025-12-30,0022500337,201144,Mike Conley,4.5595813,4.5149345,0.013844135,0.00046796392,5.014515e-06,1.6570038e-08,0.06944415841159997,0.0007441359001649225,2.45893390402966e-06,v1_hetero_nll
2025-12-30,0022500355,201144,Mike Conley,4.8600383,4.6354594,0.018780522,0.000793584,1.1331528e-05,5.3171263e-08,0.11470303555248854,0.0016378362927761381,7.685267645047726e-06,v1_hetero_nll
2025-12-30,0022500365,201144,Mike Conley,5.1586566,4.8942146,0.02815362,0.001693368,3.8769995e-05,3.2878532e-07,0.23181585056357437,0.005307469717469639,4.50095037643282e-05,v1_hetero_nll
2025-12-30,0022500400,201144,Mike Conley,7.658586,5.066068,0.08843767,0.009709268,0.000443115,8.114339e-06,1.284074642663646,0.05860304873730975,0.001073141270499515,v1_hetero_nll
2025-12-30,0022500416,201144,Mike Conley,5.434013,5.3042526,0.04370768,0.0040028174,0.0001625251,2.851494e-06,0.5056108742366554,0.02052915358133651,0.00036018287978016887,v1_hetero_nll
2025-12-30,0022500452,201144,Mike Conley,6.027283,4.5905995,0.032470305,0.0016685498,2.8605138e-05,1.5836176e-07,0.24352556833836456,0.0041749324555367135,2.311296702686929e-05,v1_hetero_nll
2025-12-30,0022500113,201566,Russell Westbrook,7.598538,5.4253244,0.101671845,0.01412897,0.0009188189,2.7081713e-05,1.7448560297355014,0.113469470729171,0.003344453832936345,v1_hetero_nll
2025-12-30,0022500126,201566,Russell Westbrook,10.656079,7.149449,0.2954084,0.10804218,0.026411694,0.004197992,10.125012643905087,2.475132700427862,0.39340856759895,v1_hetero_nll
2025-12-30,0022500132,201566,Russell Westbrook,11.399004,7.0992413,0.33112577,0.12691264,0.03248911,0.0053906506,11.9775429173049,3.0662015439678143,0.5087495638493326,v1_hetero_nll
2025-12-30,0022500142,201566,Russell Westbrook,10.557313,6.3484917,0.26728562,0.07947204,0.014038085,0.0014234218,8.387231137684742,1.4815357125547188,0.15022349160069415,v1_hetero_nll
